Part_ID,Testing_Year,Item,Response_produced,Accuracy,Accuracy_DOM_coder_2,Response_Type,Coding_Status,Coder,Notes
H03,2023,Prod-20,"la niña, uhmm",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H03,2023,Prod-24,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H03,2023,Prod-27,las dos niñas con el teléfono,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-01,un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-04,su hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-08,un hijo o uno de sus hijos hijos,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-12,un hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-16,su hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-20,un hijo... una hija,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-24,dos hijas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H04,2023,Prod-27,los hijas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H05,2023,Prod-04,uhh/a su hijo -  Jen: no DOM su hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,Unclear whether the participant said uh or 'a'
H05,2023,Prod-08,uhh/a su sobrina... sobrina y un perro - Jen: no DOM,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,Unclear whether the participant said uh or 'a'
H05,2023,Prod-20,uh/a un niña que tiene miedo - Jen: no DOM,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Researcher asks: ¿qué ve... instead of a quién? / Unclear whether the participant said uh or 'a'
H05,2023,Prod-24,uh/a dos niñas - Jen: no DOM,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,Unclear whether the participant said uh or 'a'
H05,2023,Prod-27,uhh dos niñas - Jen: cannot tell,NA,NA,Unintelligible/cannot tell,Consensus - do not score,Jorge,Unclear whether the participant said uh or 'a'
H07,2023,Prod-08,uh ve la niña jugando,0,0,"Full DP, no DOM",Consensus - scored,Jorge,Reseaercher asks: ¿qué ve...? Instead of 'a quién'
H08,2023,Prod-04,la mamá ve su niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H08,2023,Prod-08,la abuela ve... su ... nieta,0,0,"Full DP, no DOM",Consensus - scored,Jorge,Researcher helps the participant with the word 'nieta'
H08,2023,Prod-12,el perro ve su niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H08,2023,Prod-16,la mamá ve su bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H08,2023,Prod-20,el monstruo ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,There's like a mini pause after the verb
H08,2023,Prod-24,el perro ve las niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-08,el el niña está... la abuela está empujando el niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-16,el bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-24,los niños,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H09,2023,Prod-27,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-01,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-04,la chica,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-08,la chica del baño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-16,la bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-24,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H12,2023,Prod-27,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H13,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H19,2023,Prod-01,uhm el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,Researcher repeats: el niño but I believe to hear al niño
H19,2023,Prod-04,la mamá es con el niño y en escuela,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H19,2023,Prod-08,la abuela es pushing el niña en el parque,0,0,Codeswitching with English verb,Consensus - scored,Jorge,"Participant does not respond to the questions, but to what they are doing. I think she says 'al' for the verb empujar"
H19,2023,Prod-16,la mamá limpio el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H19,2023,Prod-20,el monstruo es atacado la niña,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H19,2023,Prod-24,"en el imagen uno, el perro es buen pero en el segundo foto el perro es atacado los niños... las niñas",NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H19,2023,Prod-27,la mamá es calling el niñas con un teléfono,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H21,2023,Prod-01,un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H21,2023,Prod-04,"el niño, el mamá le da un beso al niño",NA,NA,Grammatical alternative,Consensus - do not score,Jorge,DOM present but with different verb and beso as direct object
H21,2023,Prod-12,el niño... el niño está jugando con el perro,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Participant uses a verb but not target verb
H21,2023,Prod-16,su niño cuando... le da un baño,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Not target verb
H21,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H21,2023,Prod-27,la los niños,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,I think the participant says la los niños
H22,2023,Prod-01,el papá ve un niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-04,la mamá ve un niño y una niña corriendo,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-08,la abuela ve un... ni... la niña y el perro,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-12,el pero ve... ve el niño jugando con él,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-16,la mamá ve el... el bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-20,el monstruo ve el uhm la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-24,el perro ve los niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H22,2023,Prod-27,mamá uhmm las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H23,2023,Prod-01,un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H23,2023,Prod-04,la mamá ve su hijo,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H23,2023,Prod-20,el monstruo ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H23,2023,Prod-24,el perro ve las niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H23,2023,Prod-27,la mamá ve las niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-01,"la niño, el niño",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-04,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-08,a/uh el perro... el niña...  then it is la niña // Jen uhh el perro - a niña - cannot tell,NA,NA,Unintelligible/cannot tell,Consensus - do not score,Jorge,Participant comments about being confused and then adds the second response. Unclear if participant says uh or a el perro
H25,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-16,the niño... el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-20,"el niña, la niña",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H25,2023,Prod-27,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-01,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,unaudible
H28,2023,Prod-04,uhm el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-08,la niña y el perro,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-16,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H28,2023,Prod-27,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H29,2023,Prod-01,el papá ve un niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H29,2023,Prod-04,la mamá ve uhm su niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H29,2023,Prod-08,la abuela ve una niña en el parque,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H29,2023,Prod-12,el perro ve un niño/a,0,0,"Full DP, no DOM",Consensus - scored,Jorge,unclear if niño or niña
H29,2023,Prod-16,la mamá ve su niño o el bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H29,2023,Prod-24,el perro ve unas niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-01,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-04,uhh el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-08,"el niña y el perro... sí, el perro",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-16,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H30,2023,Prod-20,ve el niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-01,el papá tiene... ve un uhmm camisa verde... vista ve su mamá,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-04,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-16,el bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H31,2023,Prod-27,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H32,2023,Prod-01,uhm un niño que es más pequeño de él,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,uhm or a un niño?
H32,2023,Prod-20,ve un niña que es muy uhm (i don't know how to say scared) que es muy asustada,0,0,"Full DP, no DOM",Consensus - scored,Jorge,help from the researcher for the word asustada
H32,2023,Prod-24,el perro ve las niñas y se hace que es muy sucio se hace su blanca ropa hacer sucio,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H32,2023,Prod-27,la mamá se ve los niños que son en el teléfono,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H33,2023,Prod-01,el niño se ve el papá,0,0,"Full DP, no DOM",Consensus - scored,Jorge,reflexive verb for ver
H33,2023,Prod-04,el niño ve la mamá,0,0,"Full DP, no DOM",Consensus - scored,Jorge,I don't think the participant understood the question
H33,2023,Prod-08,la abuela ve la perro y la niña en el uh su... (unaudible),0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H33,2023,Prod-12,el perro ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H33,2023,Prod-20,la niña... el monstruo ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H33,2023,Prod-27,la mamá les ve los niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-01,ve un niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-04,la mamá da un beso a un niño... o ve él este niño,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Participant used it in the first response that did not answer the question.
H34,2023,Prod-08,uh la abuela uh ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-12,uh ve su uh un niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-20,el monstruo ve el niñas sorprendidos,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-24,el perro ve los... I mean las niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H34,2023,Prod-27,las niñas ve la mamá,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-01,uhm un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-04,uhm el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-08,uhm el perro y el niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-12,eh el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-16,la ma la bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-20,el monstruo ve la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H35,2023,Prod-24,uhm los niños ven la perro,0,0,Word order,Consensus - scored,Jorge,NA
H35,2023,Prod-27,uhm los niños,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-01,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-04,el niño de ella,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-08,el perro y el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-16,"la niña, oh niño y el rubber ducky",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H36,2023,Prod-20,el niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H37,2023,Prod-01,uhm el persona en la izquierda porque miran como más como miran como tiene más años,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Participant doesn't use the target verb but provides a response
H37,2023,Prod-04,uhm mirar? el niño una...,0,0,"Full DP, no DOM",Consensus - scored,Jorge,maybe the participant mumbled mirar... check
H37,2023,Prod-12,uhm el niño.... uhm el perro ve el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H38,2023,Prod-01,su niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H38,2023,Prod-04,su niña en la escuela,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H38,2023,Prod-12,eh un niño y estás... que estás lamiendo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,check verbs
H38,2023,Prod-16,estás limpiando su gran? bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H38,2023,Prod-20,el niño y niña muy aterrorizados,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H38,2023,Prod-24,dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-04,niño está,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H40,2023,Prod-08,la niña allí jugando,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-16,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-24,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H40,2023,Prod-27,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H41,2023,Prod-01,uhm en la izquierda,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Participant didn't answer the question but he seemed proficient
H41,2023,Prod-04,con su niña,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H41,2023,Prod-08,con su niña y el perro,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H41,2023,Prod-16,uhm su bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H41,2023,Prod-20,un niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H41,2023,Prod-24,unos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H41,2023,Prod-27,uhm unos niñas pequeñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-01,el papá puede ver el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-04,se ver la mamá se ve el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-08,la abuela puede ver la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-12,el perro puede ver el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-16,la mamá puede ver el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-20,el monstruo puede ver la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-24,el perro puede ver las dos hermanas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H42,2023,Prod-27,la mamá puede ver las dos niñas,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H43,2023,Prod-04,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H43,2023,Prod-12,"el perro ve la niño, probablemente es su dueño",0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H43,2023,Prod-16,uhm la mamá baña la bebé,0,0,"Full DP, no DOM",Consensus - scored,Jorge,doesn't use the target verb
H43,2023,Prod-20,una niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H44,2023,Prod-01,la niña niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H44,2023,Prod-04,mamá ver la niño y un beso,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H44,2023,Prod-12,el perro lamerse y niño,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H44,2023,Prod-16,uh a la niña // Jen: cannot tell,NA,NA,Unintelligible/cannot tell,Consensus - do not score,Jorge,chech uh
H44,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H44,2023,Prod-24,dos niños,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H44,2023,Prod-27,dos niños,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-01,él,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-04,el hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-08,un perro y su uhhm el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-12,uh/a? su owner... dueño // Jen: uhhh su owner,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,Participant gets helped with the word 'dueño'. Check DOM
H45,2023,Prod-16,su su hijo,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-20,un niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-24,los dos niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H45,2023,Prod-27,los niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H46,2023,Prod-01,la papá es uhm es la persona que habla con el niño y eso tiene un perro uhmm... (unaudible),NA,NA,Grammatical alternative,Consensus - do not score,Jorge,participant didn't respond to the question but used verbs
H46,2023,Prod-04,la mamá que es su uhm niño en la cheek,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H46,2023,Prod-08,la abuela pushes su niña ... uhm su rendada? on la swing,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H46,2023,Prod-12,la perro es licking el niño,0,0,Codeswitching with English verb,Consensus - scored,Jorge,verb es?
H46,2023,Prod-16,la mamá uh es washing su niño,0,0,Codeswitching with English verb,Consensus - scored,Jorge,code Codeswitching with English verbs?
H46,2023,Prod-20,el monstruo uhm ver la niña,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H46,2023,Prod-24,la perro es getting dirty y makes la uhm clothes de los niños dirty con uth? mud con mud,0,0,Codeswitching with English verb,Consensus - scored,Jorge,English
H46,2023,Prod-27,la mamá es en la teléfono con sus niñas,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,es?
H49,2023,Prod-01,el papá ven la niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-04,la niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-08,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-16,la bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-20,la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H49,2023,Prod-27,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H50,2023,Prod-01,"el papá es más más grande que de el de el hermano o el hermana, el padre tiene una más darker skin color de el hermano... el padre puede ver el niño",NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Researcher has to repeat the question to get target response
H50,2023,Prod-04,el mamá es kissing el niño adiós para ir a un lugar,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H50,2023,Prod-08,la abuela es pushando el niña para jugar en el swing,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H50,2023,Prod-12,el perro es jugando con el niño y es jugando y kissing el niño,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H50,2023,Prod-16,el mamá es lavando el niño,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H50,2023,Prod-20,el monstruo es scaring el niña,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H50,2023,Prod-24,"el perro es saltando y es muy muy sucio, dos niñas, una niña es más grande de el otra niña",NA,NA,Grammatical alternative,Consensus - do not score,Jorge,Researcher has to repeat the question to get target response
H50,2023,Prod-27,"la mamá es es el niña pranking el mamá, el mamá... la mamá picking up el teléfono... la mamá ve los dos niñas",0,0,Codeswitching with English verb,Consensus - scored,Jorge,Researcher has to repeat the question to get target response
H51,2023,Prod-01,y el niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H51,2023,Prod-04,el mamá que es el niño,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H51,2023,Prod-08,el abuela pushed el niña en el swing,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H51,2023,Prod-12,el perro licked el niño,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H51,2023,Prod-16,el mamá watched el baby el babé,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H51,2023,Prod-24,el perro play en el mud,NA,NA,Grammatical alternative,Consensus - do not score,Jorge,NA
H51,2023,Prod-27,la mamá call el niñas,0,0,Codeswitching with English verb,Consensus - scored,Jorge,NA
H52,2023,Prod-01,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-04,"el tú son, hijo, tu hijo",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-08,"los tu tu hijo, no tu tu niña",0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-12,tu un niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-16,tu bebé su bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-20,el niña la niña,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-24,las niñas,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H52,2023,Prod-27,tus hijos,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H54,2023,Prod-04,la niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H54,2023,Prod-08,la abuela está viendo la niña y la perro,0,0,"Full DP, no DOM",Consensus - scored,Jorge,NA
H54,2023,Prod-12,el niño,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
H54,2023,Prod-16,la bebé,0,0,"DP, no verb, no DOM",Consensus - scored,Jorge,NA
